combination,drug_a,drug_b,substrate_scaled,cmax_multiplier,dQTc_ms,dQTc_delta_from_1x,IKr_block_pct,risk_tier,tier_at_1x,tier_changed,rationale
ARI+NOR,ARI,NOR,NOR,1.0,14.0,0.0,,MODERATE,MODERATE,False,CYP2D6 substrate; narrow therapeutic index; poor metabolizers at 3–10x Cmax
ARI+NOR,ARI,NOR,NOR,1.5,16.5,2.5,7.98,MODERATE,MODERATE,False,CYP2D6 substrate; narrow therapeutic index; poor metabolizers at 3–10x Cmax
ARI+NOR,ARI,NOR,NOR,3.0,24.0,10.0,11.46,HIGH,MODERATE,True,CYP2D6 substrate; narrow therapeutic index; poor metabolizers at 3–10x Cmax
MPH+ARI,MPH,ARI,ARI,1.0,17.2,0.0,,MODERATE,MODERATE,False,CYP2D6 substrate; fluoxetine co-administration increases Cmax 2–4x
MPH+ARI,MPH,ARI,ARI,1.5,21.4,4.2,6.2,HIGH,MODERATE,True,CYP2D6 substrate; fluoxetine co-administration increases Cmax 2–4x
MPH+ARI,MPH,ARI,ARI,3.0,33.3,16.1,11.67,HIGH,MODERATE,True,CYP2D6 substrate; fluoxetine co-administration increases Cmax 2–4x
MPH+RIS,MPH,RIS,RIS,1.0,9.6,0.0,,LOW-MOD,LOW-MOD,False,CYP2D6 primary metabolizer; children may have 1.5–2x adult Cmax
MPH+RIS,MPH,RIS,RIS,1.5,10.0,0.4,0.53,MODERATE,LOW-MOD,True,CYP2D6 primary metabolizer; children may have 1.5–2x adult Cmax
MPH+RIS,MPH,RIS,RIS,3.0,11.0,1.4,1.06,MODERATE,LOW-MOD,True,CYP2D6 primary metabolizer; children may have 1.5–2x adult Cmax
QUE+ARI,QUE,ARI,ARI,1.0,10.5,0.0,,MODERATE,MODERATE,False,CYP2D6 substrate; fluoxetine co-administration increases Cmax 2–4x
QUE+ARI,QUE,ARI,ARI,1.5,14.5,4.0,7.07,MODERATE,MODERATE,False,CYP2D6 substrate; fluoxetine co-administration increases Cmax 2–4x
QUE+ARI,QUE,ARI,ARI,3.0,26.5,16.0,12.49,HIGH,MODERATE,True,CYP2D6 substrate; fluoxetine co-administration increases Cmax 2–4x
